# summer26 cross sections and entry counts
# xs_static  = static cross section from run.summer26.sh
# xs_in      = hSumW.Integral(0,N+1) - sum of kWeight before dijet selection
# xs_out     = sum of kWeight from events TTree (after full dijet selection)
# eff_w      = xs_out / xs_in  (weighted filter efficiency)
# ratio +/- sigma = n_entries_out / n_entries_in +/- binomial uncertainty
#
sample                     xs_static [pb]      xs_in [pb]     xs_out [pb]     eff_w   ratio +/- sigma    n_entries_in   n_entries_out
QCDHjj_herwig                      5.0605          5.0605         0.11809    0.0233  0.0233 +/- 0.0002         1000000           23340
QCDHjj_mg5_pythia                   4.967           4.982         0.26536    0.0533  0.0533 +/- 0.0004          409621           21818
QCDWjj_herwig                      1733.3          1733.3          39.138    0.0226  0.0226 +/- 0.0001         1000000           22603
QCDWjj_mg5_pythia                  1646.8          1646.8          49.964    0.0303  0.0303 +/- 0.0002         1000000           30340
QCDZjj_herwig                       340.2           340.2          7.7521    0.0228  0.0228 +/- 0.0001         1000000           22821
QCDZjj_mg5_pythia                  316.36          316.36          10.221    0.0323  0.0323 +/- 0.0002         1000000           32309
VBFH_herwig                        2.9719          2.9719         0.43582    0.1466  0.1469 +/- 0.0004         1000000          146901
VBFH_mg5_pythia                    2.8899          2.8899         0.49442    0.1711  0.1711 +/- 0.0004         1000000          171085
VBFW_herwig                         7.494           7.494          1.3187    0.1760  0.1764 +/- 0.0004         1000000          176406
VBFW_mg5_pythia                    7.2033          7.2033          1.3786    0.1914  0.1914 +/- 0.0004         1000000          191379
VBFZ_herwig                         1.099           1.099         0.22613    0.2058  0.2052 +/- 0.0004         1000000          205250
VBFZ_mg5_pythia                    1.0858          1.0858         0.23956    0.2206  0.2206 +/- 0.0004         1000000          220628
