DeepSetsNoScale — polynomial kernel approximation
==================================================

Valid constituents used for fit: 535,730
Subsample used:                  200,000
Basis:                           18-term polynomial
R² (train):                      0.9782
R² (val):                        0.9783
AUC of O_jet = Σ f(dEta,dPhi,z):0.7621
DeepSets (no scale) AUC:         0.7810
PySR available:                  False

Rank  Term        Coefficient
   1   z^2*r^2       -133.1467
   2   z*dEta        -70.4807
   3   z^2*r         +38.2640
   4   z*r           -12.5386
   5   z*r^2         -4.6014
   6   z*dPhi        -2.7428
   7   z             +1.6254
   8   z^2           +0.8959
   9   r             -0.3531
  10   r^2           +0.2391

Full coefficient table:
Term             Coefficient
z^2*r^2          -133.146667
z*dEta            -70.480698
z^2*r             +38.263977
z*r               -12.538636
z*r^2              -4.601357
z*dPhi             -2.742811
z                  +1.625351
z^2                +0.895916
r                  -0.353135
r^2                +0.239087
r^3                -0.224848
dEta^2             +0.198557
dEta               +0.131784
dPhi^2             +0.086340
1                  -0.067875
dPhi               -0.031067
r^4                +0.029856
dEta*dPhi          +0.002353
